Manufacturer,Model,Variant,Ex-Showroom Price(Rs),Drivetrain,Cylinders,Body_Type,Type,Fuel_Type,Seating_Capacity
Tata,Nano Genx,Xt,292667,RWD ,2,Hatchback,Manual,Petrol,4
Tata,Nano Genx,Xe,236447,RWD ,2,Hatchback,Manual,Petrol,4
Tata,Nano Genx,Emax Xm,296661,RWD ,2,Hatchback,Manual,CNG,4
Tata,Nano Genx,Xta,334768,RWD ,2,Hatchback,Automatic,Petrol,4
Tata,Nano Genx,Xm,272223,RWD ,2,Hatchback,Manual,Petrol,4
Tata,Nano Genx,Xma,314815,RWD ,2,Hatchback,Automatic,Petrol,4
Datsun,Redi-Go,D,279650,FWD,3,Hatchback,Manual,Petrol,5
Datsun,Redi-Go,T,351832,FWD,3,Hatchback,Manual,Petrol,5
Datsun,Redi-Go,A,333419,FWD,3,Hatchback,Manual,Petrol,5
Datsun,Redi-Go,S,362000,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Redi-Go,1.0 S,390000,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Redi-Go,1.0 S Amt,437065,FWD ,3,Hatchback,Automatic,Petrol,5
Renault,Kwid,Rxe 0.8,353290,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Std 0.8,283290,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Rxl 0.8,383290,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Rxt 0.8,413290,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Rxt 1.0,433290,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Climber 1.0 Mt,454490,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Rxt Amt 1.0,463290,FWD ,3,Hatchback,Automatic,Petrol,5
Renault,Kwid,Climber Amt 1.0,484490,FWD ,3,Hatchback,Automatic,Petrol,5
Renault,Kwid,Rxt (O) 1.0,440990,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Rxt (O) Amt 1.0,470990,FWD ,3,Hatchback,Automatic,Petrol,5
Renault,Kwid,Climber (O) Mt 1.0,462190,FWD ,3,Hatchback,Manual,Petrol,5
Renault,Kwid,Climber (O) Amt 1.0,492190,FWD ,3,Hatchback,Automatic,Petrol,5
MarutiSuzuki,Eeco,5 Str,352136,RWD ,4,MPV,Manual,Petrol,5
MarutiSuzuki,Eeco,7 Str,380573,FWD ,4,MPV,Manual,Petrol,7
MarutiSuzuki,Eeco,5 Str With Ac+Htr,392967,RWD ,4,MPV,Manual,Petrol,5
MarutiSuzuki,Eeco,5 Str With Ac+Htr Cng,466057,RWD ,4,MPV,Manual,CNG,5
MarutiSuzuki,Eeco,5 Str With Htr Cng,425255,RWD ,4,MPV,Manual,CNG,5
MarutiSuzuki,Alto K10,Lxi,377588,FWD ,3,Hatchback,Manual,Petrol,5
MarutiSuzuki,Alto K10,Vxi,394036,FWD ,3,Hatchback,Manual,Petrol,5
MarutiSuzuki,Alto K10,Lx,360843,FWD ,3,Hatchback,Manual,Petrol,5
MarutiSuzuki,Alto K10,Vxi (O),407238,FWD ,3,Hatchback,Manual,Petrol,5
MarutiSuzuki,Alto K10,Lxi Cng (O),439777,FWD ,3,Hatchback,Manual,CNG,5
MarutiSuzuki,Alto K10,Vxi Amt (O),438559,FWD ,3,Hatchback,Automatic,Petrol,5
Datsun,Go,D,374990,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,T,468229,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,T (O),502492,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,A (O),499990,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,A,469990,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,T Vdc,528464,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,T (O) Vdc,553015,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,T Cvt,594464,FWD ,3,Hatchback,Manual,Petrol,5
Datsun,Go,T (O) Cvt,618015,FWD ,3,Hatchback,Manual,Petrol,5
MarutiSuzuki,Celerio Tour,H2,422444,FWD ,3,Hatchback,Manual,Petrol,5
MarutiSuzuki,Celerio Tour,H2 Cng,480670,FWD ,3,Hatchback,Manual,CNG,5
Hyundai,Santro,Era Mt,429990,FWD ,4,Hatchback,Manual,Petrol,5
Hyundai,Santro,Magna Mt,503990,FWD ,4,Hatchback,Manual,Petrol,5
Hyundai,Santro,Magna Mt Cng,547990,FWD ,4,Hatchback,Manual,CNG,5
Hyundai,Santro,Magna Amt,530990,FWD ,4,Hatchback,AMT,Petrol,5
Hyundai,Santro,Sportz Mt,512990,FWD ,4,Hatchback,Manual,Petrol,5
Hyundai,Santro,Sportz Mt Cng,578990,FWD ,4,Hatchback,Manual,CNG,5
Hyundai,Santro,Sportz Amt,570990,FWD ,4,Hatchback,AMT,Petrol,5
Hyundai,Santro,Asta Mt,556490,FWD ,4,Hatchback,Manual,Petrol,5
